,name,color,mat,sty,occa,patt,info,price,path
0,茄士咩混羊毛Prada標誌圓領毛衣,灰色,羊絨,"Designer, contemporary, branded, knitwear.",Casual or smart-casual events.,"Logo, lettering, emblem.",Prada標誌幻化成嵌花，點綴羊毛混茄士咩圓領毛衣。流麗經典的款式採用男裝剪裁，綴有羅紋針織飾邊。,"NT$ 72,000",image/prada/woman/1.jpg
1,羽毛飾邊綴飾圓領長袖綿 T 恤,黑色,棉,"Edgy, contemporary, statement-making","Casual, Party","Solid, feathered-trim.",這款棉質抓毛絨長袖綿 T 恤糅合運動風格與華麗細節，大玩 Prada 系列的雙元性特色。圓領配以可拆除的羽毛飾邊，並以特殊的染色工藝為面料添加立體感和復古效果。此精緻的混合款式打破既定的穿著場合，飾有經典三角標誌和同色系裁縫標籤。,"NT$ 70,000",image/prada/woman/2.jpg
2,棉質抓毛慢跑褲,黑色,棉,"Chic, contemporary, embellished, unconventional.","Casual, party, fashion-forward.","Solid, feather-trim.",這款棉質抓毛絨慢跑褲糅合運動風格與別開生面的華麗細節，大玩 Prada 系列的雙元性特色。時尚百搭設計，休閒闊腿版型，飾有可拆除的蓬鬆羽毛飾邊。此混合款式打破既定的穿著場合，飾有經典布質三角標誌，背面飾有裁縫標籤。,"NT$ 75,000",image/prada/woman/3.jpg
3,羽毛飾邊綴飾圓領長袖綿 T 恤,透白色,棉,"Contemporary, playful, textured.","Casual, fashion-forward event or party.","Solid-color, feathered-cuffs",這款棉質抓毛絨長袖綿 T 恤糅合運動風格與華麗細節，大玩 Prada 系列的雙元性特色。圓領配以可拆除的羽毛飾邊，並以特殊的染色工藝為面料添加立體感和復古效果。此精緻的混合款式打破既定的穿著場合，飾有經典三角標誌和同色系裁縫標籤。,"NT$ 70,000",image/prada/woman/4.jpg
4,棉質刷毛半截裙,透白色,棉,"Elegant, contemporary, playful, textured.","Formal event, cocktail party, evening wear","Solid, feather-trim.",這款棉質抓毛絨半截裙糅合迷人細節與百搭的運動風格，大玩 Prada 系列的雙元性特色。高雅的鉛筆裙剪裁配以背面開衩，並飾有可拆除的蓬鬆羽毛飾邊。此時尚的混合款式更飾有經典布質三角標誌及裁縫標籤。,"NT$ 66,000",image/prada/woman/5.jpg
5,羊毛和緞質單排釦外套,黑色,羊毛,"Elegant, classic, tailored, monochrome, sophisticated.","Formal, business, or smart-casual events.","Solid, black",這款羊毛外套造型散發復古魅力，以意想不到的細節和時尚質感重新演繹。此款精緻作品採用方形線條設計，口袋綴以亮麗寶石鈕釦，配以對比色緞面衣領，氣質優雅迷人。,"NT$ 105,000",image/prada/woman/6.jpg
6,緞面羊毛連身迷你裙,黑色,羊毛,"Classic, elegant, tailored, monochromatic.",Formal event or business.,Solid,明確線條和色彩對比為此款羊毛迷你裙賦予精緻優雅的風格。此款結構分明的造型，以對比色的精緻絲質領飾點綴，搭配兩顆寶石鈕釦，為寬敞的明袋增添閃耀風采。,"NT$ 110,000",image/prada/woman/7.jpg
7,彈性緞質上衣,白色,尼龍,"Minimalist, modern, sleek.","Casual, sportswear.",Solid-color,這款修身彈力緞質上衣具有運動風格的美感。此企領經典款式飾有搪瓷金屬三角標誌，增添時尚魅力。,"NT$ 75,000",image/prada/woman/8.jpg
8,羊毛緞迷你裙,黑色,羊毛,"Elegant, classic, tailored.","Formal, business, or smart-casual occasions.","Solid, plain",這款羊毛緞迷你裙採用俐落的幾何線條，糅合精緻剪裁與時尚魅力。微喇叭裙款式採用典雅的正面鈕釦設計，大明袋綴以珠寶鈕釦。,"NT$ 57,000",image/prada/woman/9.jpg
9,羊毛 Sateen 長褲,黑色,羊毛,"Elegant, tailored, sophisticated.","Business, formal events, office wear.",Solid-color,羊毛 Sateen 長褲糅合量身訂制剪裁和精緻細節，呈現柔美、成熟設計風格。直身剪裁正面口袋綴以寶石鈕釦，為服裝增添一絲獨特的優雅氣息。,"NT$ 66,000",image/prada/woman/10.jpg
10,透明絲織物針織連身衣,黑色,尼龍,"Minimalist, modern, sleek.","Layering, casual, performance","Solid, monochrome.",這款長袖連身衣採用修身剪裁，以半透明的透薄針織面料製作。此服裝採用背面拉鏈設計，設有典雅企領，並綴飾搪瓷金屬三角標誌。,"NT$ 35,000",image/prada/woman/11.jpg
11,羊毛外套,黑色,綿羊皮,"Elegant, classic, luxurious, tailored, sophisticated.","Formal, evening, cold weather.",Solid color.,此羊毛外套採用量身訂制設計，並以羊毛的柔軟質感突顯其造型特色，重新演繹其雋永優雅的造型。以方正線條勾劃輪廓，展現意想不到的現代設計特色，並透過其柔軟質感提升至更高層次。選用恤衫領設計，透過珠寶鈕扣散發耀眼光芒，並以皮革標誌標籤加以潤飾。,"NT$ 240,000",image/prada/woman/12.jpg
12,單襟閃石網布外套,鐵灰色,尼龍,"Classic, elegant, tailored.","Business, formal, or smart-casual events.","Houndstooth, monochrome, geometric.",切面水晶為這款略短的外套注入光芒。奪目的設計以奢華的珠寶鈕扣點綴，既可為散發典雅魅力的造型錦上添花，亦可與簡約裝束配襯出獨特的質感對比，反映Prada系列固有的二元特質。,"NT$ 350,000",image/prada/woman/13.jpg
13,黏膠纖維樽領衫飾以水晶,黑色,人造絲,"Elegant, classic, sophisticated.",Formal event.,"Solid, black",呈經典三角形的璀璨水晶宛如珍貴項鏈，點綴黏膠纖維樽領衫。剪裁修身的毛衣優雅簡約，體現品牌精髓︰結合各種美學元素，締造別出心裁的設計。,"NT$ 62,000",image/prada/woman/14.jpg
14,府綢恤衫,白色,棉,"Classic, formal, simplistic.","Business, formal events, office wear.","Solid, plain.",這款男裝剪裁上衣將洋溢傳統魅力的府綢重塑，賦予設計嶄新意義，體現Prada的混搭及概念精髓。恤衫風格時尚優雅，袖口的密鑲閃石袖扣璀璨耀目。,"NT$ 62,000",image/prada/woman/15.jpg
15,府綢恤衫,白色,棉,"Contemporary, minimalist, tailored.","Business, formal events, office work",Solid-color,這款短身剪裁上衣將洋溢傳統魅力的府綢重塑，賦予設計嶄新意義，體現Prada的混搭及概念精髓。恤衫風格時尚優雅，袖口的密鑲閃石袖扣璀璨耀目。,"NT$ 57,000",image/prada/woman/16.jpg
16,馬海小山羊毛及綢緞迷你裙,黑色,羊毛,"Modern, minimalist, chic.","Formal, Business, Office","Solid, black, monochromatic",優雅的質感對比成為這款馬海小山羊毛及綢緞迷你裙的特色。設計散發奪目而柔美的魅力，經典的三角形標誌化身為立體布章。,"NT$ 52,000",image/prada/woman/17.jpg
17,單襟千鳥格紋外套,菸草色,羊毛,"Classic, houndstooth-patterned, tailored.","Business, formal events, office.",Houndstooth.,千鳥格紋的經典風格與單襟外套的復古氣息完美結合。點綴背面的皮革標誌為造型增添品牌格調。,"NT$ 145,000",image/prada/woman/18.jpg
18,千鳥格紋短褲,菸草色,羊毛,"Classic, checked, tailored.","Casual, leisure, or beachwear.",Houndstooth,這款短褲以經典的千鳥格紋融會大膽風格。點綴背面的皮革標誌為造型畫龍點睛，於服飾增添品牌格調。,"NT$ 39,000",image/prada/woman/19.jpg
19,短袖威爾斯格紋恤衫,寶藍色,棉,"Casual, plaid, short-sleeved, collared, button-up, summery.",Casual summer outings.,"Checkered, plaid",方正設計將傳統男裝的經典線條融入女裝剪裁。,"NT$ 42,000",image/prada/woman/20.jpg
